"","date","new_deaths_scc","total_deaths_scc","new_deaths_smc","total_deaths_smc","new_deaths","total_deaths","new_deaths_mov7"
"1",2020-02-01,0,0,0,0,0,0,0
"2",2020-02-02,0,0,0,0,0,0,0
"3",2020-02-03,0,0,0,0,0,0,0
"4",2020-02-04,0,0,0,0,0,0,0
"5",2020-02-05,0,0,0,0,0,0,0
"6",2020-02-06,1,1,0,0,1,1,0.166666666666667
"7",2020-02-07,0,1,0,0,0,1,0.142857142857143
"8",2020-02-08,0,1,0,0,0,1,0.142857142857143
"9",2020-02-09,0,1,0,0,0,1,0.142857142857143
"10",2020-02-10,0,1,0,0,0,1,0.142857142857143
"11",2020-02-11,0,1,0,0,0,1,0.142857142857143
"12",2020-02-12,0,1,0,0,0,1,0.142857142857143
"13",2020-02-13,0,1,0,0,0,1,0
"14",2020-02-14,0,1,0,0,0,1,0
"15",2020-02-15,0,1,0,0,0,1,0
"16",2020-02-16,0,1,0,0,0,1,0
"17",2020-02-17,1,2,0,0,1,2,0.142857142857143
"18",2020-02-18,0,2,0,0,0,2,0.142857142857143
"19",2020-02-19,0,2,0,0,0,2,0.142857142857143
"20",2020-02-20,0,2,0,0,0,2,0.142857142857143
"21",2020-02-21,0,2,0,0,0,2,0.142857142857143
"22",2020-02-22,0,2,0,0,0,2,0.142857142857143
"23",2020-02-23,0,2,0,0,0,2,0.142857142857143
"24",2020-02-24,0,2,0,0,0,2,0
"25",2020-02-25,0,2,0,0,0,2,0
"26",2020-02-26,0,2,0,0,0,2,0
"27",2020-02-27,0,2,0,0,0,2,0
"28",2020-02-28,0,2,0,0,0,2,0
"29",2020-02-29,0,2,0,0,0,2,0
"30",2020-03-01,0,2,0,0,0,2,0
"31",2020-03-02,0,2,0,0,0,2,0
"32",2020-03-03,0,2,0,0,0,2,0
"33",2020-03-04,0,2,0,0,0,2,0
"34",2020-03-05,0,2,0,0,0,2,0
"35",2020-03-06,1,3,0,0,1,3,0.142857142857143
"36",2020-03-07,0,3,0,0,0,3,0.142857142857143
"37",2020-03-08,0,3,0,0,0,3,0.142857142857143
"38",2020-03-09,2,5,0,0,2,5,0.428571428571429
"39",2020-03-10,0,5,0,0,0,5,0.428571428571429
"40",2020-03-11,0,5,0,0,0,5,0.428571428571429
"41",2020-03-12,0,5,0,0,0,5,0.428571428571429
"42",2020-03-13,1,6,0,0,1,6,0.428571428571429
"43",2020-03-14,0,6,1,1,1,7,0.571428571428571
"44",2020-03-15,1,7,0,1,1,8,0.714285714285714
"45",2020-03-16,0,7,0,1,0,8,0.428571428571429
"46",2020-03-17,3,10,0,1,3,11,0.857142857142857
"47",2020-03-18,0,10,0,1,0,11,0.857142857142857
"48",2020-03-19,0,10,0,1,0,11,0.857142857142857
"49",2020-03-20,2,12,0,1,2,13,1
"50",2020-03-21,2,14,0,1,2,15,1.14285714285714
"51",2020-03-22,2,16,0,1,2,17,1.28571428571429
"52",2020-03-23,5,21,3,4,8,25,2.42857142857143
"53",2020-03-24,1,22,3,7,4,29,2.57142857142857
"54",2020-03-25,7,29,1,8,8,37,3.71428571428571
"55",2020-03-26,0,29,1,9,1,38,3.85714285714286
"56",2020-03-27,1,30,2,11,3,41,4
"57",2020-03-28,2,32,0,11,2,43,4
"58",2020-03-29,2,34,1,12,3,46,4.14285714285714
"59",2020-03-30,2,36,2,14,4,50,3.57142857142857
"60",2020-03-31,1,37,1,15,2,52,3.28571428571429
"61",2020-04-01,3,40,1,16,4,56,2.71428571428571
"62",2020-04-02,2,42,3,19,5,61,3.28571428571429
"63",2020-04-03,1,43,3,22,4,65,3.42857142857143
"64",2020-04-04,2,45,0,22,2,67,3.42857142857143
"65",2020-04-05,2,47,2,24,4,71,3.57142857142857
"66",2020-04-06,1,48,1,25,2,73,3.28571428571429
"67",2020-04-07,1,49,3,28,4,77,3.57142857142857
"68",2020-04-08,2,51,1,29,3,80,3.42857142857143
"69",2020-04-09,4,55,0,29,4,84,3.28571428571429
"70",2020-04-10,1,56,1,30,2,86,3
"71",2020-04-11,5,61,1,31,6,92,3.57142857142857
"72",2020-04-12,6,67,2,33,8,100,4.14285714285714
"73",2020-04-13,1,68,0,33,1,101,4
"74",2020-04-14,2,70,2,35,4,105,4
"75",2020-04-15,4,74,0,35,4,109,4.14285714285714
"76",2020-04-16,3,77,4,39,7,116,4.57142857142857
"77",2020-04-17,5,82,0,39,5,121,5
"78",2020-04-18,4,86,1,40,5,126,4.85714285714286
"79",2020-04-19,2,88,1,41,3,129,4.14285714285714
"80",2020-04-20,5,93,0,41,5,134,4.71428571428571
"81",2020-04-21,3,96,1,42,4,138,4.71428571428571
"82",2020-04-22,3,99,0,42,3,141,4.57142857142857
"83",2020-04-23,1,100,5,47,6,147,4.42857142857143
"84",2020-04-24,1,101,5,52,6,153,4.57142857142857
"85",2020-04-25,1,102,2,54,3,156,4.28571428571429
"86",2020-04-26,3,105,0,54,3,159,4.28571428571429
"87",2020-04-27,2,107,0,54,2,161,3.85714285714286
"88",2020-04-28,2,109,1,55,3,164,3.71428571428571
"89",2020-04-29,1,110,2,57,3,167,3.71428571428571
"90",2020-04-30,3,113,0,57,3,170,3.28571428571429
"91",2020-05-01,2,115,1,58,3,173,2.85714285714286
"92",2020-05-02,3,118,4,62,7,180,3.42857142857143
"93",2020-05-03,2,120,2,64,4,184,3.57142857142857
"94",2020-05-04,4,124,0,64,4,188,3.85714285714286
"95",2020-05-05,0,124,0,64,0,188,3.42857142857143
"96",2020-05-06,2,126,4,68,6,194,3.85714285714286
"97",2020-05-07,0,126,1,69,1,195,3.57142857142857
"98",2020-05-08,1,127,2,71,3,198,3.57142857142857
"99",2020-05-09,1,128,0,71,1,199,2.71428571428571
"100",2020-05-10,0,128,0,71,0,199,2.14285714285714
"101",2020-05-11,2,130,0,71,2,201,1.85714285714286
"102",2020-05-12,1,131,1,72,2,203,2.14285714285714
"103",2020-05-13,1,132,1,73,2,205,1.57142857142857
"104",2020-05-14,1,133,3,76,4,209,2
"105",2020-05-15,1,134,1,77,2,211,1.85714285714286
"106",2020-05-16,1,135,0,77,1,212,1.85714285714286
"107",2020-05-17,0,135,1,78,1,213,2
